,Gas Longitude,Gas Latitude,Gas Stations
210,-104.73799188542036,38.84040099542342,fuel
211,-104.70484318542496,38.830324195424176,fuel
212,-104.69976308542567,38.832401095424025,fuel
213,-104.53141748544913,38.81006549542568,fuel
214,-104.75791708541757,38.867247395421394,fuel
215,-104.7607000854172,38.886023295419996,fuel
216,-104.71958168542291,38.8538114954224,fuel
217,-104.71956368542291,38.85679319542218,fuel
218,-104.68328488542797,38.855261495422305,fuel
219,-104.71802948542313,38.8715043954211,fuel
220,-104.71569058542346,38.87058969542115,fuel
221,-104.75800678541758,38.89472219541934,fuel
222,-104.75265838541831,38.89232249541954,fuel
223,-104.71662128542332,38.89420409541938,fuel
224,-104.71440638542364,38.926157895417,fuel
225,-104.60885958543832,38.9327279954165,fuel
226,-104.72874218542164,38.95489759541486,fuel
227,-104.6809555854283,38.94154869541585,fuel
228,-104.38895138546893,38.83865469542354,fuel
229,-104.60875378543834,39.36084909538491,fuel
230,-104.5365637854484,39.223869195394954,fuel
231,-103.71464668556281,38.05227449548347,fuel
232,-103.75636008555699,38.216206795470804,fuel
233,-103.55117738558558,37.988131795488435,fuel
234,-103.22182888563141,38.06463769548251,fuel
235,-103.2197646856317,38.069161395482155,fuel
236,-102.7233495857008,38.158195795475294,fuel
237,-102.78537448569217,38.48437389545028,fuel
238,-102.78529448569219,38.48821259544999,fuel
239,-103.47553428559608,39.13652999540139,fuel
240,-103.7082777855637,39.26959589539159,fuel
241,-103.706070185564,39.2705223953915,fuel
242,-103.70835778556369,39.27130359539145,fuel
243,-103.70689628556387,39.27069059539152,fuel
244,-103.70800838556372,39.27137669539145,fuel
245,-103.7097493855635,39.27540729539116,fuel
246,-103.06184038565367,39.28778579539025,fuel
247,-103.06209898565365,39.2842150953905,fuel
248,-102.87536268567963,39.29229129538993,fuel
249,-102.61930818571527,38.09262279548033,fuel
250,-102.60529508571723,39.29718059538957,fuel
251,-102.6299462857138,38.11696339547845,fuel
252,-102.6046932857173,39.29707549538957,fuel
253,-102.27975358576255,39.29556539538968,fuel
254,-102.27844348576272,39.30040709538933,fuel
255,-102.2793188857626,39.29594629538963,fuel
256,-102.25260088576633,39.30142439538924,fuel
257,-102.26325948576483,39.30122689538925,fuel
258,-102.25232338576635,39.30159099538923,fuel
259,-109.0105420848256,40.24630319532149,fuel
260,-109.01024788482566,40.246481595321484,fuel
261,-108.81222498485323,40.08977419533248,fuel
262,-107.51742118503346,39.56796819536983,fuel
263,-108.8038133848544,40.087624095332636,fuel
264,-108.80024028485488,40.08727899533269,fuel
265,-107.32672978506,39.55048599537108,fuel
266,-107.51645018503359,39.56838869536979,fuel
267,-107.53882368503045,40.513881495302854,fuel
268,-106.94772628511276,39.64498719536425,fuel
269,-106.94686798511287,39.64546629536422,fuel
270,-106.9544478851118,39.65096809536381,fuel
271,-106.93457278511458,39.64666419536415,fuel
272,-106.89021218512075,39.64451779536429,fuel
273,-108.0845058849545,40.517435495302614,fuel
274,-107.5630158850271,40.51377049530288,fuel
275,-106.39900988518913,40.05922619533465,fuel
276,-107.25920948506939,40.49499249530418,fuel
277,-107.25650168506976,40.495381195304134,fuel
278,-106.83617858512827,39.648609695364,fuel
279,-106.82742918512949,39.65622169536345,fuel
280,-106.82723608512953,39.65893919536325,fuel
281,-106.82568358512974,39.65819369536329,fuel
282,-106.8283606851294,39.66142199536307,fuel
283,-106.82185018513027,39.66138809536308,fuel
284,-106.16147848522222,39.49366569537522,fuel
285,-106.10021958523073,39.575689195369264,fuel
286,-106.14103988522504,39.50589649537433,fuel
287,-106.04695048523814,39.49009349537549,fuel
288,-106.07145088523473,39.6288604953654,fuel
289,-106.09391028523162,39.58563099536855,fuel
290,-106.05260908523735,39.564957195370056,fuel
291,-106.07042838523488,39.62872499536544,fuel
292,-106.06960498523499,39.62919399536539,fuel
293,-106.04627298523823,39.6307159953653,fuel
294,-106.06478228523567,39.62804369536546,fuel
295,-106.06260508523597,39.62853609536543,fuel
296,-105.80003418527251,39.37748729538368,fuel
297,-105.97565508524806,39.60661919536701,fuel
298,-105.69560308528706,39.71558239535917,fuel
299,-105.69550838528707,39.71265959535939,fuel
300,-106.10185888523051,40.07267199533372,fuel
301,-105.61328048529852,39.76612599535554,fuel
302,-105.61321798529853,39.76667599535551,fuel
303,-105.51948468531158,39.741880495357286,fuel
304,-105.51903498531163,39.74168469535729,fuel
305,-105.51951888531156,39.74210729535727,fuel
306,-105.50258458531393,39.741738195357286,fuel
307,-105.49961858531434,39.741863795357276,fuel
308,-105.49907408531442,39.74190709535728,fuel
309,-105.49728618531466,39.7415660953573,fuel
310,-105.78681138527438,39.92476179534422,fuel
311,-105.51075298531278,39.96233939534154,fuel
312,-106.81704578513094,40.44827319530739,fuel
313,-105.5097320853129,39.963053195341466,fuel
314,-106.816779885131,40.44828529530741,fuel
315,-105.51445258531227,40.37962139531217,fuel
316,-106.85743308512532,40.502004695303675,fuel
317,-105.95707648525065,40.09056899533246,fuel
318,-105.51362318531238,40.38023029531213,fuel
319,-105.50476228531362,40.370537995312795,fuel
320,-105.50422748531369,40.36984329531284,fuel
321,-105.45397988532068,39.43987689537912,fuel
322,-105.39514128532889,39.466439195377184,fuel
323,-105.30377118534159,39.529012795372644,fuel
324,-105.34807058533544,39.491603495375365,fuel
325,-105.30477488534144,39.51589639537361,fuel
326,-105.30638238534124,39.52058259537325,fuel
327,-105.30109848534195,39.53753759537203,fuel
328,-105.29753378534245,39.54156079537173,fuel
329,-105.33024528533791,39.69916069536034,fuel
330,-105.24972388534913,39.55063719537108,fuel
331,-105.31553988533996,39.63666599536485,fuel
332,-105.3144659853401,39.636548995364855,fuel
