,Charger Longitude,Charger Latitude,Charger Stations
132,-104.98993148538528,39.963151895341475,charging_station
133,-105.09983808537,40.00047369533883,charging_station
134,-103.62220478557568,40.27096809531975,charging_station
135,-105.06923228537423,40.593166695297384,charging_station
136,-105.01486888538182,40.52516879530208,charging_station
137,-105.01479488538183,40.52516419530208,charging_station
138,-105.01235478538216,40.52553529530205,charging_station
139,-105.01228008538217,40.52551939530206,charging_station
140,-105.06322458537508,40.40582849531036,charging_station
141,-105.00777608538282,40.40886989531013,charging_station
142,-104.99116868538512,40.44145119530789,charging_station
143,-105.09478728537067,40.52141589530233,charging_station
144,-105.01833198538134,40.52601889530201,charging_station
