STATE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,8.00,10.00,12.00,20.00,26.00,27.00,26.00,26.00,23.00,23.00,20.00,22.00,22.00,23.00,21.00,20.00,21.00,26.00,30.00,38.00,48.00,60.00,71.00,86.00,110.00,124.00,143.00,151.00
NV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,5.00,10.00,18.00,20.00,24.00,22.00,16.00,17.00,16.00,17.00,16.00,16.00,16.00,17.00,18.00,20.00,20.00,23.00,26.00,34.00,39.00,44.00,46.00,50.00,65.00,71.00
NY,0.00,0.00,3.00,4.00,5.00,6.00,8.00,13.00,16.00,20.00,27.00,44.00,70.00,84.00,88.00,81.00,78.00,83.00,84.00,86.00,80.00,82.00,82.00,77.00,81.00,84.00,100.00,123.00,150.00,193.00,255.00,329.00,394.00,471.00,532.00,618.00,666.00
OH,0.00,0.00,0.00,0.00,3.00,5.00,6.00,9.00,12.00,15.00,20.00,28.00,40.00,55.00,68.00,77.00,87.00,74.00,64.00,59.00,55.00,53.00,57.00,58.00,66.00,66.00,75.00,81.00,99.00,114.00,151.00,187.00,236.00,324.00,377.00,437.00,482.00
OK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.00,8.00,9.00,9.00,10.00,10.00,9.00,6.00,6.00,6.00,7.00,8.00,7.00,6.00,9.00,10.00,10.00,10.00,13.00,17.00,18.00,21.00,26.00,43.00,55.00,76.00,88.00
OR,0.00,3.00,5.00,8.00,13.00,15.00,21.00,26.00,30.00,37.00,48.00,54.00,73.00,86.00,88.00,88.00,82.00,82.00,81.00,87.00,92.00,88.00,95.00,96.00,108.00,108.00,120.00,148.00,180.00,220.00,244.00,281.00,304.00,347.00,386.00,406.00,428.00
PA,4.00,4.00,5.00,6.00,6.00,8.00,11.00,12.00,12.00,12.00,15.00,27.00,42.00,56.00,63.00,74.00,73.00,81.00,76.00,78.00,86.00,78.00,81.00,94.00,97.00,96.00,118.00,146.00,162.00,183.00,233.00,278.00,333.00,411.00,472.00,560.00,619.00
RI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,5.00,6.00,5.00,6.00,8.00,7.00,7.00,6.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,9.00,12.00,14.00,15.00,17.00,27.00,33.00,40.00,51.00
SC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,19.00,21.00,23.00,22.00,19.00,19.00,19.00,21.00,21.00,19.00,16.00,17.00,16.00,15.00,16.00,17.00,23.00,30.00,37.00,51.00,59.00,84.00,94.00,115.00,131.00
SD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,7.00,7.00,6.00,7.00,7.00,6.00,6.00,7.00,8.00,7.00,7.00,8.00,9.00,12.00,12.00,15.00,19.00,21.00,28.00,35.00,45.00,58.00
TN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,9.00,13.00,15.00,21.00,25.00,23.00,23.00,23.00,22.00,22.00,24.00,19.00,19.00,22.00,23.00,23.00,26.00,31.00,45.00,51.00,69.00,88.00,101.00,120.00,140.00,174.00,196.00
TX,4.00,4.00,4.00,4.00,5.00,7.00,8.00,7.00,8.00,11.00,27.00,48.00,63.00,71.00,65.00,66.00,59.00,47.00,42.00,41.00,40.00,45.00,47.00,45.00,47.00,47.00,59.00,84.00,107.00,128.00,170.00,220.00,266.00,333.00,387.00,466.00,526.00
UT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,4.00,8.00,13.00,15.00,17.00,17.00,20.00,20.00,16.00,17.00,15.00,16.00,15.00,17.00,15.00,15.00,18.00,18.00,18.00,22.00,24.00,27.00,29.00,34.00,39.00,46.00,54.00,54.00
VA,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00,7.00,12.00,9.00,12.00,17.00,23.00,27.00,29.00,31.00,29.00,30.00,30.00,31.00,34.00,35.00,35.00,43.00,42.00,44.00,54.00,67.00,85.00,117.00,155.00,209.00,287.00,328.00,383.00,420.00
VT,0.00,0.00,0.00,0.00,0.00,3.00,4.00,6.00,6.00,7.00,10.00,12.00,20.00,24.00,27.00,24.00,23.00,19.00,25.00,25.00,26.00,24.00,24.00,22.00,24.00,27.00,32.00,34.00,39.00,45.00,51.00,66.00,73.00,84.00,90.00,100.00,106.00
WA,4.00,4.00,4.00,4.00,7.00,8.00,10.00,13.00,15.00,21.00,28.00,48.00,79.00,109.00,115.00,118.00,113.00,94.00,94.00,91.00,93.00,100.00,108.00,110.00,121.00,138.00,157.00,188.00,230.00,266.00,314.00,383.00,424.00,499.00,540.00,600.00,627.00
WI,5.00,6.00,7.00,10.00,12.00,14.00,17.00,18.00,19.00,23.00,29.00,35.00,50.00,57.00,65.00,77.00,91.00,82.00,90.00,90.00,97.00,98.00,103.00,105.00,110.00,108.00,119.00,126.00,146.00,146.00,168.00,189.00,217.00,261.00,303.00,346.00,365.00
WV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,4.00,5.00,5.00,6.00,4.00,5.00,5.00,4.00,4.00,6.00,6.00,6.00,8.00,8.00,8.00,8.00,9.00,13.00,17.00,24.00,27.00,32.00,34.00,35.00
WY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.00,14.00,15.00,13.00,13.00,11.00,11.00,11.00,13.00,14.00,14.00,14.00,14.00,13.00,16.00,15.00,19.00,25.00,28.00,32.00,33.00,39.00,44.00,51.00,51.00
